RegionID,RegionName,StateName,State,Metro,date,rent,city
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2015-01-31,2564.7978728656017,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2015-01-31,1742.044549140995,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2015-01-31,1511.013736164942,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2015-01-31,1140.5833930928543,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2015-01-31,1505.3438917745907,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2015-02-28,2579.092067458453,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2015-02-28,1754.7455373945625,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2015-02-28,1520.672938282949,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2015-02-28,1150.1652581572353,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2015-02-28,1518.04783926063,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2015-03-31,2600.7103290703694,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2015-03-31,1771.719187052446,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2015-03-31,1531.326323407755,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2015-03-31,1158.3444409176095,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2015-03-31,1543.005144433303,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2015-04-30,2626.717824571661,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2015-04-30,1783.403987299011,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2015-04-30,1542.610336164213,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2015-04-30,1164.3882708858075,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2015-04-30,1557.4202391195493,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2015-05-31,2648.5927672326407,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2015-05-31,1805.982931023832,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2015-05-31,1555.6612389515385,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2015-05-31,1175.3511587582454,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2015-05-31,1575.2287784977084,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2015-06-30,2668.9888921828383,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2015-06-30,1815.8382656521808,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2015-06-30,1568.7353643198398,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2015-06-30,1185.1056528345816,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2015-06-30,1588.7707086566631,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2015-07-31,2680.362891886007,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2015-07-31,1830.897475904609,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2015-07-31,1574.7052924896814,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2015-07-31,1191.828858045684,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2015-07-31,1604.0253311560868,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2015-08-31,2692.1197615022684,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2015-08-31,1837.141621514082,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2015-08-31,1577.5850226052871,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2015-08-31,1196.1975591996493,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2015-08-31,1615.433316857431,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2015-09-30,2698.362945652482,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2015-09-30,1855.421464811741,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2015-09-30,1570.854586416685,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2015-09-30,1195.0898389929828,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2015-09-30,1622.3496509956722,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2015-10-31,2696.725773581702,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2015-10-31,1864.7299875892863,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2015-10-31,1561.6793789466735,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2015-10-31,1190.7825884971628,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2015-10-31,1626.7426894357543,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2015-11-30,2683.229720331699,new-york-city
