city,neighbourhood_cleansed,total_listings,avg_occupancy,median_price,commercial_pct,licensed_pct,avg_availability,avg_reviews,occupancy_rate,total_listings_norm,avg_occupancy_norm,commercial_pct_norm,activity_score
austin,78701,1246,42.69,203.0,0.8,0.0,192.97,4.79,0.117,0.5417218543046357,0.1962410171365395,0.9285714285714287,0.481
austin,78702,1773,82.15,160.0,0.55,0.0,165.71,4.88,0.225,0.7743929359823399,0.9233462318039433,0.4821428571428572,0.776
austin,78703,656,55.67,164.0,0.53,0.0,182.29,4.86,0.153,0.28123620309050773,0.4354155150175051,0.44642857142857145,0.376
austin,78704,2284,63.67,144.0,0.51,0.0,159.43,4.86,0.174,1.0,0.5828266077022296,0.4107142857142857,0.715
austin,78705,615,61.69,96.0,0.61,0.0,153.07,4.68,0.169,0.2631346578366446,0.5463423622627602,0.5892857142857143,0.442
austin,78717,67,37.99,137.0,0.61,0.0,163.87,4.83,0.104,0.02119205298013245,0.10963700018426391,0.5892857142857143,0.17
austin,78719,19,79.21,59.0,0.84,0.0,123.05,4.67,0.217,0.0,0.8691726552423068,1.0,0.548
austin,78721,389,84.55,134.0,0.54,0.0,179.58,4.82,0.232,0.16335540838852097,0.9675695596093605,0.46428571428571436,0.545
austin,78722,282,62.66,134.0,0.47,0.0,146.06,4.88,0.172,0.11611479028697572,0.564215957250783,0.33928571428571425,0.34
austin,78723,487,58.43,124.0,0.44,0.0,162.63,4.86,0.16,0.20662251655629138,0.48627234199373504,0.2857142857142857,0.334
austin,78724,235,50.65,112.0,0.65,0.0,170.98,4.83,0.139,0.09536423841059603,0.3429150543578404,0.6607142857142858,0.307
austin,78725,102,48.32,127.0,0.49,0.0,163.06,4.9,0.132,0.03664459161147903,0.29998157361341443,0.375,0.21
austin,78726,24,32.25,96.0,0.38,0.0,143.67,4.9,0.088,0.002207505518763797,0.003869541182974034,0.17857142857142855,0.038
austin,78727,172,70.86,111.0,0.6,0.0,196.76,4.85,0.194,0.06754966887417219,0.7153123272526257,0.5714285714285714,0.427
austin,78728,106,66.21,103.5,0.51,0.0,184.97,4.78,0.181,0.038410596026490065,0.6296296296296295,0.4107142857142857,0.349
austin,78729,172,62.98,125.0,0.54,0.0,188.14,4.84,0.173,0.06754966887417219,0.5701124009581721,0.46428571428571436,0.348
austin,78730,37,46.97,563.5,0.38,0.0,220.65,4.9,0.129,0.007947019867549669,0.2751059517228671,0.17857142857142855,0.149
austin,78731,149,46.93,157.5,0.28,0.0,140.92,4.88,0.129,0.05739514348785872,0.2743688962594435,0.0,0.133
austin,78732,79,48.48,382.0,0.46,0.0,249.35,4.84,0.133,0.026490066225165563,0.30292979546710885,0.32142857142857145,0.196
austin,78733,95,37.72,318.0,0.51,0.0,198.58,4.88,0.103,0.033554083885209716,0.10466187580615441,0.4107142857142857,0.137
austin,78734,381,54.97,225.0,0.56,0.0,218.71,4.84,0.151,0.1598233995584989,0.42251704440759164,0.5000000000000001,0.333
austin,78735,70,86.31,80.5,0.63,0.0,167.0,4.76,0.236,0.022516556291390728,1.0,0.625,0.534
austin,78736,96,66.23,165.0,0.49,0.0,203.48,4.89,0.181,0.03399558498896247,0.6299981573613415,0.375,0.341
austin,78737,204,65.92,250.0,0.57,0.0,228.06,4.91,0.181,0.08167770419426049,0.6242859775198084,0.5178571428571428,0.386
austin,78738,74,45.04,214.0,0.53,0.0,228.8,4.84,0.123,0.024282560706401765,0.23954302561267735,0.44642857142857145,0.195
austin,78739,39,48.59,131.0,0.31,0.0,141.08,4.96,0.133,0.008830022075055188,0.3049566979915239,0.05357142857142853,0.136
austin,78741,859,58.73,105.0,0.51,0.0,162.62,4.75,0.161,0.3708609271523179,0.4918002579694121,0.4107142857142857,0.427
austin,78744,486,69.04,100.0,0.53,0.0,170.29,4.86,0.189,0.20618101545253864,0.681776303666851,0.44642857142857145,0.444
